Rk,Player,Age,Team,Pos,G,Games Started,Min Played,PER,True Shooting %,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
132,Kel'el Ware,21,MIA,C,77,34,1704,20,61.6%,35.9%,14.8%,13.1,29.2,21.1,4.6,1.6,4.4,8.2,18,3.2,3,6.2,0.175,2.1,0.1,2.1,1.8,
133,Dillon Brooks,30,PHO,SF,56,56,1702,14.1,54.0%,38.5%,21.1%,2.7,10.8,6.6,9.6,1.7,0.5,8.6,28.6,0.4,1.6,2.1,0.058,-1,-1.3,-2.3,-0.1,
134,Dennis Schröder,32,2TM,PG,70,17,1697,12.9,52.6%,36.2%,32.6%,2.1,10.5,6.2,27.7,1.6,0.6,14.7,21,0.8,0.7,1.5,0.043,-0.9,-1.3,-2.2,-0.1,
134,Dennis Schröder,32,SAC,PG,40,14,1056,13.6,53.1%,39.3%,31.5%,2.3,10.9,6.5,28.6,1.5,0.5,14.1,22.5,0.5,0.2,0.7,0.03,0,-1.8,-1.9,0,
134,Dennis Schröder,32,CLE,PG,30,3,641,11.8,51.5%,30.0%,34.8%,1.9,9.7,5.8,26.3,1.7,0.7,15.9,18.6,0.3,0.5,0.9,0.066,-2.3,-0.5,-2.8,-0.1,
135,Isaac Okoro,25,CHI,SG,63,62,1695,9.8,57.4%,48.1%,24.4%,4.4,6.4,5.4,7.8,1.3,1.5,8.3,13.6,1.4,0.7,2.2,0.061,-3,-0.8,-3.8,-0.8,
136,Jerami Grant,31,POR,PF,57,38,1695,15.4,60.8%,47.9%,44.1%,3.5,9.3,6.3,11,1.2,1.9,12,23.8,2.6,1.4,4,0.114,0.9,-0.9,0,0.9,
137,Dominick Barlow,22,PHI,PF,71,59,1689,13.2,59.7%,20.6%,32.8%,8.5,13.5,11,7,1.8,2.9,10.9,12.8,2.2,1.8,3.9,0.112,-1.5,0.4,-1.1,0.4,
138,Michael Porter Jr.,27,BRK,SF,52,52,1689,19.9,59.5%,50.6%,23.7%,4.5,21.7,12.6,18.2,1.6,0.7,10.3,30.5,1.7,1.3,2.9,0.083,4.2,-1.2,3,2.1,
139,Luke Kennard,29,2TM,SG,78,6,1681,13.5,68.9%,55.3%,15.6%,2.1,10,6.1,13.8,1.6,0.4,11.2,13.5,3.2,1.4,4.5,0.13,0.1,0.1,0.1,0.9,
139,Luke Kennard,29,ATL,SG,46,0,944,13.5,71.3%,62.1%,14.6%,2.2,9.3,5.7,13.2,1.7,0.5,11.1,12.7,1.9,0.9,2.7,0.139,0.2,0.3,0.5,0.6,
139,Luke Kennard,29,LAL,SG,32,6,737,13.4,66.1%,47.3%,16.7%,2.1,10.8,6.6,14.5,1.5,0.4,11.4,14.6,1.3,0.5,1.8,0.118,-0.1,-0.3,-0.4,0.3,
140,Cameron Johnson,29,DEN,SF,54,54,1647,12.8,62.9%,53.9%,23.6%,3.1,10.6,7,10.6,1.2,1.2,8.2,15.1,2.7,1,3.7,0.108,0.3,-0.9,-0.6,0.6,
141,Brook Lopez,37,LAC,C,75,40,1635,12.3,55.2%,58.5%,13.7%,3.4,15.7,9.7,8.5,1.4,5,9.6,17.2,0.5,1.8,2.3,0.068,-1.3,0.4,-0.9,0.5,
142,Will Riley,19,WAS,SF,74,18,1633,12.1,54.8%,40.0%,29.1%,3.6,10.4,7,12.7,1.6,0.5,11.9,20.2,0.4,0,0.4,0.012,-1.9,-2.6,-4.5,-1,
143,Cody Williams,21,UTA,SG,67,41,1631,9.6,52.4%,25.7%,23.4%,3.9,9.3,6.6,11.4,1.5,1.5,11.5,16,0,0.1,0.1,0.004,-3.6,-1.9,-5.5,-1.5,
144,Bennedict Mathurin,23,2TM,SF,54,25,1620,14.7,57.5%,35.2%,49.6%,3.9,16.5,10.2,12,1.3,0.7,12.5,25.2,1,1.1,2.1,0.062,-1.1,-1.4,-2.5,-0.2,
144,Bennedict Mathurin,23,IND,SF,28,24,891,12.6,58.9%,43.6%,40.8%,2.6,16.1,9.2,10.5,0.9,0.4,13.2,23.2,0.3,0.4,0.7,0.038,-1.1,-1.7,-2.8,-0.2,
144,Bennedict Mathurin,23,LAC,SF,26,1,729,17.2,56.1%,25.7%,59.6%,5.4,16.9,11.3,13.9,1.8,1.2,11.8,27.8,0.7,0.7,1.4,0.092,-1,-1,-2.1,0,
145,Bobby Portis,30,MIL,PF,67,9,1619,17.1,58.7%,39.5%,9.1%,6.3,23.5,14.9,10.5,1.2,0.7,7.8,23.1,1.6,1.2,2.8,0.083,1.5,-1.6,0,0.8,
146,Collin Sexton,27,2TM,SG,68,22,1614,17.4,61.5%,37.6%,34.4%,2.8,7.6,5.3,21.7,2.3,0.6,14.2,25.9,2.5,1.4,3.9,0.117,1.1,-0.5,0.6,1.1,
146,Collin Sexton,27,CHO,SG,42,12,938,17.7,61.9%,35.0%,37.2%,2.2,7.3,4.8,26.4,1.9,0.7,15.6,25.7,1.9,0.9,2.8,0.141,1.6,-0.4,1.2,0.7,
146,Collin Sexton,27,CHI,SG,26,10,676,17,60.9%,40.9%,30.8%,3.7,8.1,5.9,15.1,2.8,0.4,12.3,26.2,0.7,0.5,1.2,0.084,0.3,-0.5,-0.2,0.3,
147,Cedric Coward,22,MEM,SG,62,47,1598,15.3,58.5%,42.4%,25.6%,5.5,19.4,12.3,16,1.2,1.6,12.7,21.5,1.4,1.1,2.5,0.076,0.4,-0.6,-0.2,0.7,ROY-5
148,Peyton Watson,23,DEN,SF,54,40,1598,14.3,59.4%,33.9%,32.5%,3.6,14.4,9.3,9.7,1.5,3.6,12.3,20.6,1,1.6,2.6,0.078,-0.8,-0.5,-1.2,0.3,
149,Herbert Jones,27,NOP,SF,56,56,1588,9.1,49.1%,54.2%,13.0%,3.2,9.8,6.4,12.9,2.7,1.6,12.6,15.2,-0.4,1.1,0.7,0.022,-3.7,0.6,-3.1,-0.5,
150,Jalen Suggs,24,ORL,PG,57,56,1574,15.6,56.1%,55.5%,18.0%,2.5,13.2,7.8,29.6,3.2,2.3,17.8,22.9,0.3,2.4,2.7,0.083,0.7,1.8,2.5,1.8,
151,Kelly Oubre Jr.,30,PHI,SF,50,41,1574,13,58.0%,43.9%,26.7%,3.4,14.2,8.7,7.3,2.1,1.4,10.2,18.2,1.1,1.6,2.7,0.083,-1.3,-0.1,-1.4,0.2,
152,Jordan Goodwin,27,PHO,PG,70,10,1572,14.7,52.5%,54.4%,10.1%,9.4,14.8,12,13.6,3.3,0.9,10.5,17.5,1.5,2.4,3.9,0.118,0.3,1.5,1.8,1.5,
153,Jrue Holiday,35,POR,PG,53,51,1560,16.4,57.3%,51.1%,14.8%,4.9,12.3,8.5,32.1,1.7,0.3,16.2,23.5,2.1,1.5,3.6,0.109,2.4,-0.5,1.9,1.6,
154,Dylan Harper,19,SAS,SG,69,4,1558,16.2,57.4%,27.1%,18.1%,3.8,12.1,8.1,24.7,1.7,1.4,12.3,21.8,2,2.2,4.2,0.13,0.3,1.1,1.4,1.3,"ROY-4,6MOY-11"
155,Ron Holland,20,DET,SF,78,5,1551,11.7,52.5%,36.4%,27.4%,6.1,16.5,11.4,8.2,2.9,1.7,13.6,18.9,-0.1,2.9,2.8,0.087,-3.3,1.4,-2,0,
156,Tari Eason,24,HOU,PF,60,34,1549,12.9,51.4%,44.8%,11.6%,9,17.8,13.5,8,2.3,1.7,11.7,18.7,0.6,2.3,2.9,0.091,-1.8,0.2,-1.6,0.2,
157,Kevin Huerter,27,2TM,SF,69,14,1549,13.2,55.2%,54.5%,11.9%,2.4,14.2,8.4,16.1,1.9,1.9,10.3,18.8,0.8,1.7,2.5,0.078,-1.1,0.5,-0.6,0.6,
157,Kevin Huerter,27,CHI,SF,44,11,1037,13.2,55.9%,55.2%,13.9%,2.4,14.8,8.7,15.9,1.6,2.2,10.3,19.2,0.5,0.8,1.3,0.06,-1.1,0.1,-1,0.3,
157,Kevin Huerter,27,DET,SG,25,3,512,13.4,53.9%,53.1%,7.8%,2.5,12.9,7.8,16.5,2.6,1.4,10.4,18,0.4,0.9,1.2,0.114,-1.1,1.4,0.3,0.3,
158,Moses Moody,23,GSW,SG,60,49,1540,13.5,60.0%,67.7%,20.3%,3.6,11,7.2,9.2,1.8,2,8.6,18.3,1.7,1.4,3.1,0.096,0.2,-0.3,-0.1,0.7,
159,Terance Mann,29,BRK,SG,63,51,1529,10.2,56.4%,41.8%,21.7%,5,10.5,7.6,18.6,1.3,0.9,15,13.5,1.2,0.6,1.8,0.056,-2.7,-0.7,-3.4,-0.6,
160,Jarrett Allen,27,CLE,C,56,56,1519,22.1,66.9%,1.9%,49.4%,10.5,24,17.2,9.7,1.7,2.9,10.4,19.9,4.2,2.2,6.4,0.202,2.2,0.4,2.6,1.8,
161,Isaiah Collier,21,UTA,PG,59,19,1517,14.8,56.7%,19.4%,40.6%,1.5,9.4,5.3,39.2,2,1.3,19.6,20.4,1.3,0.3,1.7,0.053,-0.7,-1.8,-2.4,-0.2,
162,Isaiah Joe,26,OKC,SG,71,9,1507,15.5,65.7%,78.8%,22.7%,2.5,10.2,6.5,8.6,1.6,0.7,7,18.4,3.2,2.4,5.5,0.176,2,0.5,2.5,1.7,
163,Jock Landale,30,2TM,C,68,27,1506,16.6,59.5%,35.2%,23.0%,12.9,14.9,13.9,11.1,1.1,2.2,9,18.3,2.7,1.1,3.8,0.122,0.9,-1,-0.1,0.7,
163,Jock Landale,30,MEM,C,45,25,1060,16.8,59.4%,33.2%,22.9%,14.2,15.7,14.9,10.6,1.1,1.9,9.7,18.6,1.9,0.6,2.5,0.114,1,-1.3,-0.2,0.5,
163,Jock Landale,30,ATL,C,23,2,446,16,59.6%,40.3%,23.3%,10.1,13.1,11.6,12.4,1.1,2.8,7.4,17.7,0.8,0.5,1.3,0.141,0.5,-0.4,0.1,0.2,
164,Zaccharie Risacher,20,ATL,SF,67,46,1503,11.8,55.7%,48.1%,16.8%,5,13.6,9.3,6.8,1.9,2.2,9.2,17.6,0.5,1.9,2.3,0.074,-2.3,-0.2,-2.5,-0.2,
